policy_id,name,kind,lead_closure_days,lead_closure_days_unrounded,p05_days,p95_days,us_capability_loss_days,china_capability_loss_days,mc_standard_error_days,info_page,basis,horizon_months
incident-reporting,Critical safety incident reporting,policy,0.0,0.00041737939653322564,9.1576014292065e-05,0.0010606966321069077,0.00045544661990750464,3.806722337427897e-05,3.7188839846751073e-06,info/incident-reporting.md,calibrated_structural_model_with_explicit_analyst_priors,12
safety-framework,Published frontier safety framework,policy,-0.023,-0.02281754493536104,-0.1103213827834024,0.028840319836325668,0.032479028880824365,0.0552965738161854,0.0005464776734022944,info/safety-framework.md,calibrated_structural_model_with_explicit_analyst_priors,12
transparency-report,Transparency report at launch,policy,-0.023,-0.02325196296582062,-0.07535743804550202,6.441793013550164e-05,0.003908489493720869,0.02716045245954149,0.00029299709311430075,info/transparency-report.md,calibrated_structural_model_with_explicit_analyst_priors,12
whistleblower,Whistleblower protections,policy,0.13,0.12560706723545573,0.01085323158412671,0.3860146644595197,0.1354800439092228,0.009872976673767055,0.001471282880947995,info/whistleblower.md,calibrated_structural_model_with_explicit_analyst_priors,12
shutdown,Full shutdown capability,policy,0.37,0.3688430523157466,0.03319023318103167,1.1429334367102084,0.41650660458680844,0.04766355227106182,0.004245394594526673,info/shutdown.md,calibrated_structural_model_with_explicit_analyst_priors,12
third-party-audit,Annual independent compliance audit,policy,-0.005,-0.005092300130067026,-0.043775997483603085,0.02134154008078627,0.018701484557825797,0.023793784687892824,0.00025338603755840715,info/third-party-audit.md,calibrated_structural_model_with_explicit_analyst_priors,12
internal-evals,Mandatory internal capability evaluations,policy,-0.032,-0.03186450504075555,-0.15013304414000664,0.02561540332803825,0.028170798863031872,0.060035303903787425,0.0006953190983517937,info/internal-evals.md,calibrated_structural_model_with_explicit_analyst_priors,12
third-party-eval,Independent pre-deployment evaluation,policy,-0.041,-0.04063181053345813,-0.1477358143521984,0.010414349257507007,0.023795068545022714,0.06442687907848085,0.0006252862176247247,info/third-party-eval.md,calibrated_structural_model_with_explicit_analyst_priors,12
evaluator-window,Twenty business days of evaluator access,policy,-0.19,-0.18667780203447004,-0.8085176508781683,0.005445065044407416,0.052220821212258975,0.23889862324672903,0.003385141492867052,info/evaluator-window.md,calibrated_structural_model_with_explicit_analyst_priors,12
triggered-redteam,Triggered red-team and remediation,policy,0.021,0.021486007043481054,-0.15298447807552518,0.20464319423047952,0.1471264247034631,0.12564041765998205,0.0013697502481277983,info/triggered-redteam.md,calibrated_structural_model_with_explicit_analyst_priors,12
safety-case-deploy,Safety case before deployment,policy,-1.27,-1.2711051197279561,-3.5613836849515916,0.14365257567039227,0.5569158710952102,1.8280209908231666,0.013398341586492283,info/safety-case-deploy.md,calibrated_structural_model_with_explicit_analyst_priors,12
safety-case-train,Authorization before frontier training,policy,25.0,25.108567818705726,4.879146818484677,58.58071644370993,26.682568341529162,1.5740005228234342,0.19294196902094427,info/safety-case-train.md,calibrated_structural_model_with_explicit_analyst_priors,12
training-notice-30,Thirty-day pre-training notice,policy,2.7,2.6999173895724025,0.5839939092844844,6.192016377469058,2.868749568944988,0.16883217937258532,0.02085911588112634,info/training-notice-30.md,calibrated_structural_model_with_explicit_analyst_priors,12
pause-6,Six-month training pause,policy,44.0,44.07444565859221,20.380644811702076,74.0643710795571,50.93201302403963,6.857567365447416,0.18030311063778087,info/pause-6.md,calibrated_structural_model_with_explicit_analyst_priors,12
compute-cap,Hard cap on training compute,policy,119.0,119.17823087217131,70.65805148379405,173.34877798866552,127.57227630032193,8.394045428150623,0.3430906553677746,info/compute-cap.md,calibrated_structural_model_with_explicit_analyst_priors,12
internal-deploy,Safety checks before internal use,policy,1.12,1.1157139950162684,0.18088352944784367,2.8861817883174936,1.2132962064392951,0.09758221142302666,0.009944035128120076,info/internal-deploy.md,calibrated_structural_model_with_explicit_analyst_priors,12
ai-rnd-limits,Human sign-off on automated AI research,policy,3.8,3.828929328762297,1.1695518988004103,8.029400715997058,4.084118170902703,0.2551888421404058,0.025024055126092685,info/ai-rnd-limits.md,calibrated_structural_model_with_explicit_analyst_priors,12
safety-compute-share,One-third of AI research budgets on safety,policy,32.0,31.722678828440344,9.270462053653418,55.41527900163215,35.069979738628405,3.3473009101880615,0.15441771630577966,info/safety-compute-share.md,calibrated_structural_model_with_explicit_analyst_priors,12
strict-liability,Product liability for AI harms,policy,-0.04,-0.0400853395643547,-0.5433553373081763,0.4619894837139293,0.25301578847393824,0.2931011280382929,0.0036214158225984366,info/strict-liability.md,calibrated_structural_model_with_explicit_analyst_priors,12
data-licensing,Consent to train on copyrighted work,policy,26.0,26.439485383617434,12.29839319996477,46.640946698018,29.97447817933226,3.534992795714824,0.11931795772592368,info/data-licensing.md,calibrated_structural_model_with_explicit_analyst_priors,12
light-vetting,Background checks for lab staff,policy,-0.03,-0.029902231133292562,-0.19656441189858387,0.07609614002225099,0.053344435533777726,0.08324666666707028,0.0010218855767436448,info/light-vetting.md,calibrated_structural_model_with_explicit_analyst_priors,12
personnel-security,Clearance-level vetting for lab staff,policy,1.44,1.4436953156171408,-0.5521713353582421,4.262578700112228,2.22454760014117,0.7808522845240294,0.01688091273637489,info/personnel-security.md,calibrated_structural_model_with_explicit_analyst_priors,12
weight-security,Model-weight security standard,policy,-0.43,-0.4287575102615855,-1.4577507215361676,0.1038963760137497,0.1857327304008249,0.6144902406624104,0.005872384835737293,info/weight-security.md,calibrated_structural_model_with_explicit_analyst_priors,12
secure-dev-env,Isolated secure development environment,policy,2.7,2.7380582066738874,-2.4154389129351768,9.269319046774573,6.120705001091727,3.38264679441784,0.03929036021050981,info/secure-dev-env.md,calibrated_structural_model_with_explicit_analyst_priors,12
kyc-compute,Know-your-customer rules for compute providers,policy,-1.58,-1.584479023002225,-4.534678717623345,-0.11875096259591628,0.13214294990042796,1.716621972902653,0.016640218236467965,info/kyc-compute.md,calibrated_structural_model_with_explicit_analyst_priors,12
anti-distillation,Anti-distillation controls,policy,-3.7,-3.7294039088886954,-9.773109492760668,-0.5377566880440026,0.23662402033709182,3.9660279292257874,0.03402581054018045,info/anti-distillation.md,calibrated_structural_model_with_explicit_analyst_priors,12
export-controls,Advanced chip export controls,policy,-27.0,-26.773148851144963,-54.32071093112524,-8.98835281957688,-0.7751550053012498,25.997993845843713,0.16170506807227641,info/export-controls.md,calibrated_structural_model_with_explicit_analyst_priors,12
sb-1047,California SB 1047 (as vetoed),bundle,-0.8,-0.8036112316666447,-3.8020253202700127,1.0054132492462255,1.1857654775007538,1.9893767091673986,0.017372230550115973,info/sb-1047.md,calibrated_structural_model_with_explicit_analyst_priors,12
sb-53,California SB 53,bundle,0.081,0.08080014393289305,-0.09139020947218024,0.3535470806880318,0.1708611770222454,0.09006103308935239,0.0016214645133209437,info/sb-53.md,calibrated_structural_model_with_explicit_analyst_priors,12
raise-act,New York RAISE Act,bundle,-0.045,-0.04452622987197809,-0.1592501586770309,0.021373417031150362,0.03568762327104935,0.08021385314302745,0.0006809511810422935,info/raise-act.md,calibrated_structural_model_with_explicit_analyst_priors,12
eu-ai-act,"EU AI Act, systemic-risk models",bundle,-0.5,-0.4973452372488578,-1.5595273563150098,0.0778531439368969,0.24595416037052076,0.7432993976193786,0.006037695948599766,info/eu-ai-act.md,calibrated_structural_model_with_explicit_analyst_priors,12
ai-risk-evaluation-act,AI Risk Evaluation Act (Hawley–Blumenthal),bundle,-0.4,-0.40353654689326907,-1.5043563285154702,0.021573011234825083,0.15445706683536442,0.5579936137286334,0.006130575021874704,info/ai-risk-evaluation-act.md,calibrated_structural_model_with_explicit_analyst_priors,12
secure-ai-development-act,Secure AI Development Act (Warner),bundle,-0.13,-0.13085164035335087,-0.6141770838329842,0.011175863864403715,0.04414688237501729,0.17499852272836813,0.0026881038895079728,info/secure-ai-development-act.md,calibrated_structural_model_with_explicit_analyst_priors,12
frontier-act,FRONTIER Act (Obernolte–Trahan),bundle,0.81,0.8141265409353822,0.08883052504310247,2.110392365140041,1.0010181474396724,0.18689160650429038,0.007025413308634949,info/frontier-act.md,calibrated_structural_model_with_explicit_analyst_priors,12
pause-letter,The 2023 pause letter,bundle,44.0,44.07444565859221,20.380644811702076,74.0643710795571,50.93201302403963,6.857567365447416,0.18030311063778087,info/pause-letter.md,calibrated_structural_model_with_explicit_analyst_priors,12
